dataset,uspto_50k
use_rxn_class,True
atom_message,False
use_attn,False
n_heads,8
epochs,150
mpn_size,256
depth,10
dropout_mpn,0.15
mlp_size,512
dropout_mlp,0.2
lr,0.001
patience,5
factor,0.8
thresh,0.01
max_clip,10
print_every,200
num_workers,6
""
epoch,train_acc,valid_acc,valid_first_step_acc,train_loss
1,0.3883,0.5188,0.8043,0.7122
2,0.516,0.5368,0.8147,0.3899
3,0.5475,0.5698,0.8299,0.3486
4,0.5686,0.5828,0.8403,0.3202
5,0.5834,0.5698,0.8379,0.3055
6,0.5926,0.597,0.8529,0.2931
7,0.6022,0.6022,0.8531,0.2804
8,0.6121,0.6096,0.8553,0.2731
9,0.6179,0.6122,0.8469,0.2657
10,0.622,0.6144,0.8579,0.2598
11,0.6324,0.6102,0.8533,0.2526
12,0.6359,0.6168,0.8599,0.246
13,0.6387,0.6253,0.8621,0.2463
14,0.6459,0.6281,0.8615,0.2395
15,0.65,0.6289,0.8607,0.2362
16,0.6508,0.6232,0.8577,0.2329
17,0.6541,0.6228,0.8579,0.2312
18,0.6514,0.6389,0.8659,0.2303
19,0.6563,0.6405,0.8637,0.226
20,0.6588,0.6361,0.8657,0.2238
21,0.6611,0.6325,0.8609,0.2235
22,0.6623,0.6242,0.8593,0.2215
23,0.6632,0.6341,0.8625,0.2213
24,0.6691,0.6265,0.8577,0.2187
25,0.6825,0.6349,0.8637,0.2026
26,0.6874,0.6381,0.8673,0.1981
27,0.6863,0.6315,0.8627,0.1986
28,0.6931,0.6453,0.8721,0.1929
29,0.6939,0.6369,0.8617,0.1921
30,0.6961,0.6467,0.8673,0.193
31,0.7099,0.6417,0.8657,0.1786
32,0.7123,0.6477,0.8673,0.1761
33,0.7174,0.6501,0.8647,0.1717
34,0.726,0.6437,0.8675,0.1667
35,0.7191,0.6423,0.8661,0.1699
36,0.7262,0.6549,0.8715,0.1661
37,0.7276,0.6461,0.8667,0.1629
38,0.7292,0.6487,0.8687,0.1639
39,0.7283,0.6437,0.8687,0.1629
40,0.7455,0.6485,0.8719,0.1514
41,0.7473,0.6441,0.8711,0.1491
42,0.7494,0.6531,0.8729,0.1462
43,0.7509,0.6531,0.8737,0.1455
44,0.7564,0.6497,0.8699,0.1429
45,0.7597,0.6449,0.8687,0.1419
46,0.7677,0.6547,0.8709,0.133
47,0.7725,0.6543,0.8691,0.1299
48,0.773,0.6485,0.8693,0.1296
49,0.7787,0.6545,0.8731,0.1271
50,0.78,0.6507,0.8711,0.1252
51,0.7804,0.6527,0.8667,0.1251
52,0.7909,0.6619,0.8745,0.118
53,0.7932,0.6523,0.8689,0.1155
54,0.8002,0.6559,0.8735,0.1124
55,0.8023,0.6537,0.8707,0.1115
56,0.802,0.6531,0.8695,0.1103
57,0.8046,0.6511,0.8687,0.1259
58,0.8039,0.6555,0.8699,0.1085
59,0.8128,0.6505,0.8715,0.1044
60,0.8142,0.6539,0.8725,0.1019
61,0.8176,0.6561,0.8715,0.1005
62,0.8171,0.6547,0.8713,0.0999
63,0.8188,0.6505,0.8723,0.0993
64,0.8222,0.6473,0.8687,0.0969
65,0.8267,0.6583,0.8713,0.0944
66,0.831,0.6559,0.8721,0.0926
67,0.8306,0.6581,0.8741,0.0914
68,0.8334,0.6583,0.8705,0.0892
69,0.8341,0.6513,0.8687,0.09
70,0.837,0.6605,0.8719,0.0887
71,0.8394,0.6569,0.8717,0.0864
72,0.8431,0.6569,0.8721,0.083
73,0.8449,0.6613,0.8717,0.0824
74,0.849,0.6605,0.8723,0.0818
75,0.849,0.6585,0.8735,0.082
76,0.8494,0.6611,0.8737,0.0811
77,0.8527,0.6613,0.8749,0.0786
78,0.8557,0.6557,0.8731,0.0773
79,0.8556,0.6595,0.8701,0.0769
80,0.8557,0.6605,0.8719,0.0767
81,0.8586,0.6589,0.8727,0.0751
82,0.8563,0.6587,0.8735,0.0752
83,0.8604,0.6605,0.8711,0.074
84,0.8635,0.6559,0.8709,0.0722
85,0.8649,0.6551,0.8729,0.0719
86,0.8642,0.6609,0.8719,0.072
87,0.8624,0.6603,0.8711,0.0716
