dataset,uspto_50k
use_rxn_class,False
atom_message,False
use_attn,False
n_heads,8
epochs,200
mpn_size,256
depth,10
dropout_mpn,0.15
mlp_size,512
dropout_mlp,0.2
lr,0.001
patience,5
factor,0.8
thresh,0.01
max_clip,10
print_every,200
num_workers,6
""
epoch,train_acc,valid_acc,valid_first_step_acc,train_loss
1,0.2873,0.3421,0.582,0.9111
2,0.3883,0.405,0.6261,0.5508
3,0.4193,0.441,0.6301,0.4963
4,0.4348,0.456,0.6491,0.4645
5,0.45,0.4664,0.6581,0.4446
6,0.4625,0.456,0.6611,0.4287
7,0.4712,0.482,0.6735,0.4144
8,0.4811,0.487,0.6795,0.4028
9,0.4867,0.485,0.6719,0.3924
10,0.4978,0.5,0.6813,0.3834
11,0.5015,0.4918,0.6829,0.3786
12,0.5099,0.4962,0.6853,0.3687
13,0.5113,0.5016,0.6885,0.3632
14,0.5133,0.5044,0.6897,0.3586
15,0.5162,0.5034,0.6877,0.3541
16,0.5239,0.5028,0.6893,0.3476
17,0.541,0.5156,0.6965,0.33
18,0.5424,0.5176,0.6943,0.3234
19,0.5506,0.5196,0.6999,0.3161
20,0.5517,0.5108,0.6941,0.3137
21,0.5554,0.5212,0.6995,0.3094
22,0.5628,0.5212,0.6971,0.3064
23,0.5654,0.517,0.6991,0.3019
24,0.5801,0.5184,0.7003,0.2848
25,0.5864,0.5302,0.7049,0.2795
26,0.5892,0.5246,0.6993,0.2757
27,0.5932,0.521,0.7015,0.2723
28,0.593,0.5322,0.7013,0.2692
29,0.5978,0.5332,0.7039,0.2659
30,0.6011,0.532,0.7069,0.2634
31,0.6013,0.5348,0.7047,0.2609
32,0.6174,0.5398,0.7017,0.2462
33,0.625,0.5416,0.7115,0.2414
34,0.6264,0.5374,0.7061,0.2388
35,0.6307,0.5392,0.7117,0.2347
36,0.6366,0.5372,0.7067,0.2306
37,0.6361,0.5368,0.7063,0.231
38,0.6363,0.5386,0.7123,0.2311
39,0.6365,0.5372,0.7093,0.2295
40,0.6521,0.5426,0.7139,0.2154
41,0.6581,0.5448,0.7137,0.2109
42,0.6616,0.547,0.7183,0.2077
43,0.6646,0.5432,0.7097,0.2066
44,0.6677,0.5414,0.7147,0.2037
45,0.6722,0.5394,0.7117,0.2024
46,0.6807,0.5464,0.7107,0.1937
47,0.6842,0.5386,0.7097,0.1915
48,0.6874,0.5456,0.7109,0.1882
49,0.6896,0.5472,0.7093,0.1849
50,0.6918,0.5436,0.7113,0.185
51,0.695,0.5388,0.7085,0.1824
52,0.7055,0.5474,0.7135,0.1737
53,0.7121,0.548,0.7149,0.1708
54,0.7092,0.5518,0.7155,0.1704
55,0.7152,0.5548,0.7191,0.1685
56,0.7153,0.5488,0.7185,0.168
57,0.7143,0.5484,0.7127,0.1676
58,0.7182,0.5528,0.7171,0.1653
59,0.7196,0.5508,0.7137,0.1653
60,0.7217,0.5454,0.7131,0.1613
61,0.7308,0.5494,0.7153,0.1562
62,0.7315,0.55,0.7117,0.1553
63,0.7367,0.5522,0.7165,0.1528
64,0.7371,0.5468,0.7107,0.1517
65,0.736,0.549,0.7135,0.1526
66,0.7411,0.547,0.7077,0.1492
67,0.7452,0.5446,0.7109,0.1455
68,0.7484,0.5474,0.7137,0.1448
69,0.7473,0.545,0.7133,0.1431
70,0.7508,0.5472,0.7155,0.1432
71,0.7517,0.5506,0.7181,0.1405
72,0.7558,0.5502,0.7105,0.1396
73,0.7575,0.547,0.7141,0.1368
74,0.7622,0.5466,0.7105,0.1354
75,0.7601,0.5538,0.7219,0.1345
76,0.764,0.5468,0.7139,0.1331
77,0.7673,0.5516,0.7153,0.1313
78,0.7647,0.5486,0.7171,0.1327
79,0.771,0.5498,0.7159,0.1288
80,0.7718,0.55,0.7129,0.129
81,0.7761,0.5548,0.7191,0.1263
82,0.7774,0.5528,0.7159,0.1253
83,0.7772,0.5482,0.7143,0.1257
84,0.7768,0.5534,0.7177,0.1253
85,0.7828,0.5552,0.7217,0.1225
86,0.7814,0.551,0.7149,0.122
87,0.7828,0.5488,0.7149,0.1215
88,0.7811,0.5512,0.7177,0.1218
89,0.7854,0.5526,0.7159,0.1198
90,0.7859,0.5556,0.7185,0.1201
91,0.7881,0.551,0.7171,0.1181
92,0.7887,0.5558,0.7179,0.118
93,0.7864,0.555,0.7155,0.1178
94,0.794,0.551,0.7157,0.1152
95,0.7921,0.5526,0.7133,0.1158
96,0.7915,0.554,0.7149,0.1154
97,0.7911,0.5526,0.7153,0.1149
98,0.7934,0.5544,0.7163,0.1141
99,0.7963,0.5518,0.7143,0.1127
100,0.7957,0.5572,0.7185,0.1126
101,0.7984,0.554,0.7167,0.1118
102,0.7965,0.5534,0.7165,0.1118
103,0.7995,0.5558,0.7151,0.1107
104,0.7987,0.5536,0.7135,0.1113
105,0.8021,0.5548,0.7159,0.1091
106,0.8003,0.5536,0.7147,0.1105
107,0.8025,0.553,0.7167,0.1083
108,0.7994,0.5556,0.7155,0.1102
109,0.8065,0.5564,0.7185,0.1078
110,0.8028,0.5538,0.7137,0.1074
111,0.8024,0.5536,0.7157,0.1081
112,0.805,0.5544,0.7163,0.1077
113,0.8061,0.5574,0.7169,0.1079
